X Y Z VX VY VZ IP PHI FACIE
312072.3 7008078.5 3490.862571 17 38 11 14221.2 6.74532 1
312072.3 7008078.5 3497.113594 17 38 12 14248.4 6.86555 1
312072.3 7008078.5 3503.364617 17 38 13 14579.3 2.17235 2
312072.3 7008078.5 3509.61564 17 38 14 14541.0 5.72283 2
312072.3 7008078.5 3515.866663 17 38 15 12998.4 10.4146 0
312072.3 7008078.5 3522.117686 17 38 16 13148.3 6.04976 1
312072.3 7008078.5 3528.368709 17 38 17 13102.6 7.50138 1
312072.3 7008078.5 3534.619732 17 38 18 13876.9 5.12303 1
312072.3 7008078.5 3540.870755 17 38 19 13870.6 8.67152 1
312072.3 7008078.5 3547.121778 17 38 20 13715.4 6.13704 1
312072.3 7008078.5 3553.372801 17 38 21 12595.5 6.57074 1
312072.3 7008078.5 3559.623824 17 38 22 12644.1 8.57444 1
312072.3 7008078.5 3565.874847 17 38 23 12764.6 11.6184 0
312072.3 7008078.5 3572.12587 17 38 24 15211.8 1.71067 2
312072.3 7008078.5 3578.376893 17 38 25 15800.5 5.28198 2
312072.3 7008078.5 3584.627916 17 38 26 13584.9 7.12176 1
312072.3 7008078.5 3590.878939 17 38 27 12895.6 8.61389 1
312072.3 7008078.5 3597.129962 17 38 28 12895.5 17.282 0
312072.3 7008078.5 3603.380985 17 38 29 14361.9 3.65625 2
312072.3 7008078.5 3609.632008 17 38 30 16046.5 2.98253 2
312072.3 7008078.5 3615.883031 17 38 31 16015.9 3.51665 2
312072.3 7008078.5 3622.134054 17 38 32 16139.4 1.12744 2
312072.3 7008078.5 3628.385077 17 38 33 15994.1 1.19576 2
312072.3 7008078.5 3634.6361 17 38 34 15351.3 9.52051 0
312072.3 7008078.5 3640.887123 17 38 35 13988.3 5.41858 2
312072.3 7008078.5 3647.138146 17 38 36 13921.0 2.85553 2
312072.3 7008078.5 3653.389169 17 38 37 16262.1 0.90477 2
312072.3 7008078.5 3659.640192 17 38 38 16266.3 1.20646 2
312072.3 7008078.5 3665.891215 17 38 39 16070.2 1.77142 2
312072.3 7008078.5 3672.142238 17 38 40 16028.1 2.12506 2
